,subject,nbofobs,countguess,countmem,accfamstd,accstd,accmemstd,confstd,curstd,ahastd,curiosity,confidence,aha,rtguess,rtaha,rtcurcon,curiosity_z,aha_z,confidence_z,old,accfam,rtfamiliar,rtpostguess,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,debrief,datajoin,fiveDCR,joyexp,deprsens,stresstol,ovsoccur,cosoccur,thrillseek,perccur,NCS,AQ28,socskills,routine,switching,imagination,numbpatt,acc,accmem,madeguess
0,00000,80,70,76,0.24358867592311162,0.42823600496614844,0.38236439641468933,1.5839383698533447,0.8410925685444851,1.2298373876248843,4.3375,2.15,3.8625,6024.969937500004,4288.411687500005,7565.395562499985,-4.2674197509029455e-16,1.158795281952507e-16,6.661338147750939e-17,1.0,0.9375,1128.6611874999828,5429.789999999991,4.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,0.0,1.0,76.0,14.0,5.0,20.0,13.0,12.0,12.0,35.0,34.0,82.0,23.0,12.0,14.0,23.0,10.0,0.2375,0.825,0.875
1,29689,80,71,72,0.3465471637582117,0.4427689056352855,0.46114881312663186,1.9871422136362538,0.5844774795068096,2.0481158368150614,5.6125,3.975,3.4125,4635.640687500091,3074.0155624999907,7046.812187499956,3.302913498259841e-16,-1.2212453270876723e-16,-3.8857805861880476e-17,1.0,0.8625,1385.9922500000423,4422.385750000016,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,5.0,1.0,5.0,4.0,5.0,0.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,1.0,4.0,3.0,0.0,1.0,5.0,3.0,1.0,1.0,85.0,13.0,13.0,15.0,19.0,12.0,13.0,31.0,55.0,70.0,21.0,10.0,14.0,13.0,12.0,0.2625,0.7,0.8875
2,33928,80,71,66,0.461148813126632,0.33280548924392167,0.4929888180106566,0.7588090268575529,1.2975146641936146,1.509254153966728,3.75,0.8625,3.975,2586.375,3706.3375,6230.8125,-6.938893903907228e-17,3.053113317719181e-17,-5.551115123125783e-18,1.0,0.7,1239.0,2005.6875,3.0,1.0,3.0,4.0,3.0,1.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,3.0,0.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,73.0,11.0,6.0,16.0,15.0,14.0,11.0,33.0,39.0,89.0,24.0,14.0,19.0,27.0,5.0,0.125,0.4,0.8875
3,34003,80,63,60,0.45545220260830827,0.35932426031459797,0.4992082338658825,1.4832396974191326,1.2180083348637105,1.5903188120784566,4.1,1.95,4.05,2467.262500000001,3658.5875000000183,4517.800000000006,2.886579864025407e-16,1.554312234475219e-16,-8.326672684688674e-18,1.0,0.7125,1002.4625000000087,2583.6250000000027,4.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,3.0,2.0,1.0,5.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,5.0,1.0,4.0,4.0,3.0,1.0,1.0,79.0,13.0,13.0,13.0,17.0,16.0,7.0,36.0,44.0,106.0,32.0,18.0,19.0,20.0,17.0,0.15,0.4375,0.7875
4,34174,80,69,65,0.4713299255661338,0.43574467033059505,0.501737487466418,2.0986734809747887,2.1299179873674463,2.4396513550458834,2.9125,3.275,2.85,2651.249625021592,3479.2803124990314,6144.016812508926,-5.828670879282072e-17,-3.2959746043559335e-17,-7.216449660063518e-17,1.0,0.675,1302.0536874886602,2906.904437474441,4.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,4.0,1.0,4.0,3.0,3.0,2.0,1.0,4.0,5.0,4.0,5.0,1.0,2.0,1.0,3.0,2.0,3.0,0.0,5.0,4.0,4.0,5.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,5.0,2.0,4.0,3.0,2.0,3.0,5.0,4.0,1.0,0.0,1.0,3.0,5.0,0.0,3.0,2.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62.0,9.0,4.0,16.0,10.0,15.0,8.0,23.0,32.0,77.0,19.0,10.0,18.0,30.0,0.0,0.25,0.5375,0.8625
5,37522,80,41,46,0.44933143021295,0.4202169421632268,0.5006325113218328,1.4923857376273126,0.9409798286757712,1.4300128352083974,4.525,1.225,3.425,2382.0535624967306,4251.344812499883,6472.413812497689,-3.6914915568786457e-16,6.245004513516506e-17,-5.2735593669694933e-17,1.0,0.725,1309.2103749964735,2424.7973125064163,2.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,2.0,3.0,5.0,1.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,2.0,0.0,5.0,4.0,5.0,1.0,0.0,5.0,3.0,1.0,1.0,3.0,0.0,2.0,1.0,5.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,2.0,0.0,1.0,4.0,2.0,1.0,1.0,76.0,14.0,13.0,15.0,15.0,14.0,5.0,34.0,48.0,105.0,35.0,20.0,21.0,20.0,9.0,0.225,0.45,0.5125
7,37528,80,58,62,0.33280548924392167,0.3823643964146892,0.47132992556613384,1.6492710319134511,1.5930525589873683,1.902696288049399,3.6375,1.9625,3.5,1917.8705000000014,2463.923999999982,5073.324812500028,-9.922618282587337e-17,-9.714451465470119e-18,-2.5630539357557325e-17,1.0,0.875,785.4770625000267,2441.7079374999857,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,5.0,4.0,3.0,3.0,4.0,5.0,2.0,3.0,2.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,5.0,4.0,0.0,3.0,2.0,1.0,1.0,86.0,14.0,16.0,14.0,15.0,14.0,13.0,38.0,52.0,89.0,22.0,11.0,17.0,25.0,14.0,0.175,0.675,0.725
8,37534,80,42,48,0.4202169421632268,0.35932426031459797,0.5029973450366553,0.8455954384749366,1.4229137515337313,1.1188120960774037,1.975,0.7625,2.8375,2017.3038749996533,2973.2752499998774,5127.930062499958,-3.053113317719181e-17,1.0547118733938987e-16,1.457167719820518e-17,1.0,0.775,1161.0951874999591,2563.419124999878,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,64.0,10.0,6.0,20.0,8.0,9.0,11.0,24.0,38.0,89.0,24.0,13.0,14.0,29.0,9.0,0.15,0.4875,0.525
9,37540,80,57,58,0.4427689056352855,0.4025236843413021,0.4992082338658826,1.2876605221304118,0.5948087662050976,1.2404062217421796,4.725,1.6125,4.075,2552.013937499937,2906.4301250001286,4652.157500000029,6.203371150093063e-16,-2.6732088764802596e-16,-3.95516952522712e-17,1.0,0.7375,1304.8738749999088,2374.3244374999254,4.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,5.0,5.0,3.0,4.0,5.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,78.0,15.0,12.0,10.0,17.0,16.0,8.0,37.0,59.0,102.0,25.0,17.0,18.0,31.0,11.0,0.2,0.4375,0.7125
10,37546,80,78,78,0.37123638789348556,0.46114881312663186,0.4929888180106565,1.5215228048141838,1.5668641584831915,1.5629714478631536,2.025,2.9625,2.0125,6290.1730625000255,2562.719562499978,6763.087437499984,4.4408920985006264e-17,-1.1102230246251565e-16,4.891920202254596e-17,1.0,0.8375,1405.3163125000283,5244.11181250003,3.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,4.0,1.0,0.0,3.0,4.0,1.0,3.0,4.0,4.0,1.0,1.0,78.0,15.0,9.0,23.0,9.0,12.0,10.0,30.0,30.0,79.0,26.0,10.0,11.0,16.0,16.0,0.3,0.6,0.975
