subject,../img/tt/001tt.jpg,../img/tt/007tt.jpg,../img/tt/008tt.jpg,../img/tt/010tt.jpg,../img/tt/013tt.jpg,../img/tt/019tt.jpg,../img/tt/020tt.jpg,../img/tt/031tt.jpg,../img/tt/032tt.jpg,../img/tt/036tt.jpg,../img/tt/040tt.jpg,../img/tt/044tt.jpg,../img/tt/046tt.jpg,../img/tt/049tt.jpg,../img/tt/052tt.jpg,../img/tt/053tt.jpg,../img/tt/055tt.jpg,../img/tt/056tt.jpg,../img/tt/060tt.jpg,../img/tt/063tt.jpg,../img/tt/064tt.jpg,../img/tt/076tt.jpg,../img/tt/078tt.jpg,../img/tt/079tt.jpg,../img/tt/080tt.jpg,../img/tt/081tt.jpg,../img/tt/082tt.jpg,../img/tt/084tt.jpg,../img/tt/085tt.jpg,../img/tt/091tt.jpg,../img/tt/094tt.jpg,../img/tt/096tt.jpg,../img/tt/098tt.jpg,../img/tt/1002tt.jpg,../img/tt/1004tt.jpg,../img/tt/1006tt.jpg,../img/tt/1012tt.jpg,../img/tt/1024tt.jpg,../img/tt/1027tt.jpg,../img/tt/1033tt.jpg,../img/tt/1037tt.jpg,../img/tt/1040tt.jpg,../img/tt/1043tt.jpg,../img/tt/1044tt.jpg,../img/tt/1046tt.jpg,../img/tt/1048tt.jpg,../img/tt/1049tt.jpg,../img/tt/1053tt.jpg,../img/tt/1055tt.jpg,../img/tt/105tt.jpg,../img/tt/1061tt.jpg,../img/tt/1063tt.jpg,../img/tt/1066tt.jpg,../img/tt/1069tt.jpg,../img/tt/1070tt.jpg,../img/tt/1072tt.jpg,../img/tt/1078tt.jpg,../img/tt/1080tt.jpg,../img/tt/1084tt.jpg,../img/tt/1086tt.jpg,../img/tt/1087tt.jpg,../img/tt/1089tt.jpg,../img/tt/108tt.jpg,../img/tt/1091tt.jpg,../img/tt/1096tt.jpg,../img/tt/1097tt.jpg,../img/tt/1101tt.jpg,../img/tt/1102tt.jpg,../img/tt/1107tt.jpg,../img/tt/1116tt.jpg,../img/tt/1118tt.jpg,../img/tt/111tt.jpg,../img/tt/1122tt.jpg,../img/tt/1123tt.jpg,../img/tt/1125tt.jpg,../img/tt/1126tt.jpg,../img/tt/1127tt.jpg,../img/tt/1128tt.jpg,../img/tt/112tt.jpg,../img/tt/1130tt.jpg,../img/tt/1142tt.jpg,../img/tt/1143tt.jpg,../img/tt/1146tt.jpg,../img/tt/1148tt.jpg,../img/tt/1151tt.jpg,../img/tt/1154tt.jpg,../img/tt/1156tt.jpg,../img/tt/1159tt.jpg,../img/tt/1161tt.jpg,../img/tt/1171tt.jpg,../img/tt/1173tt.jpg,../img/tt/1175tt.jpg,../img/tt/1181tt.jpg,../img/tt/1186tt.jpg,../img/tt/1188tt.jpg,../img/tt/1189tt.jpg,../img/tt/118tt.jpg,../img/tt/1190tt.jpg,../img/tt/1191tt.jpg,../img/tt/1196tt.jpg,../img/tt/1199tt.jpg,../img/tt/1200tt.jpg,../img/tt/1202tt.jpg,../img/tt/1205tt.jpg,../img/tt/1211tt.jpg,../img/tt/1217tt.jpg,../img/tt/121tt.jpg,../img/tt/1224tt.jpg,../img/tt/1226tt.jpg,../img/tt/1227tt.jpg,../img/tt/1228tt.jpg,../img/tt/1232tt.jpg,../img/tt/1234tt.jpg,../img/tt/1235tt.jpg,../img/tt/1236tt.jpg,../img/tt/1237tt.jpg,../img/tt/1239tt.jpg,../img/tt/123tt.jpg,../img/tt/1241tt.jpg,../img/tt/1242tt.jpg,../img/tt/1243tt.jpg,../img/tt/1247tt.jpg,../img/tt/124tt.jpg,../img/tt/1250tt.jpg,../img/tt/1251tt.jpg,../img/tt/1254tt.jpg,../img/tt/1255tt.jpg,../img/tt/1260tt.jpg,../img/tt/1261tt.jpg,../img/tt/1262tt.jpg,../img/tt/1268tt.jpg,../img/tt/1269tt.jpg,../img/tt/126tt.jpg,../img/tt/1270tt.jpg,../img/tt/1272tt.jpg,../img/tt/1275tt.jpg,../img/tt/1276tt.jpg,../img/tt/1278tt.jpg,../img/tt/1279tt.jpg,../img/tt/1283tt.jpg,../img/tt/1290tt.jpg,../img/tt/1307tt.jpg,../img/tt/1309tt.jpg,../img/tt/1353tt.jpg,../img/tt/135tt.jpg,../img/tt/1362tt.jpg,../img/tt/1363tt.jpg,../img/tt/1366tt.jpg,../img/tt/140tt.jpg,../img/tt/163tt.jpg,../img/tt/184tt.jpg,../img/tt/189tt.jpg,../img/tt/194tt.jpg,../img/tt/222tt.jpg,../img/tt/270tt.jpg,../img/tt/273tt.jpg,../img/tt/279tt.jpg,../img/tt/296tt.jpg,../img/tt/300tt.jpg,../img/tt/301tt.jpg,../img/tt/306tt.jpg,../img/tt/307tt.jpg,../img/tt/315tt.jpg,../img/tt/318tt.jpg,../img/tt/319tt.jpg,../img/tt/329tt.jpg,../img/tt/353tt.jpg,../img/tt/357tt.jpg,../img/tt/358tt.jpg,../img/tt/378tt.jpg,../img/tt/380tt.jpg,../img/tt/405tt.jpg,../img/tt/406tt.jpg,../img/tt/412tt.jpg,../img/tt/416tt.jpg,../img/tt/418tt.jpg,../img/tt/435tt.jpg,../img/tt/436tt.jpg,../img/tt/438tt.jpg,../img/tt/440tt.jpg,../img/tt/442tt.jpg,../img/tt/456tt.jpg,../img/tt/468tt.jpg,../img/tt/477tt.jpg,../img/tt/481tt.jpg,../img/tt/496tt.jpg,../img/tt/497tt.jpg,../img/tt/507tt.jpg,../img/tt/515tt.jpg,../img/tt/517tt.jpg,../img/tt/522tt.jpg,../img/tt/524tt.jpg,../img/tt/534tt.jpg,../img/tt/549tt.jpg,../img/tt/552tt.jpg,../img/tt/559tt.jpg,../img/tt/567tt.jpg,../img/tt/580tt.jpg,../img/tt/584tt.jpg,../img/tt/590tt.jpg,../img/tt/598tt.jpg,../img/tt/599tt.jpg,../img/tt/603tt.jpg
00000,3.0,,4.0,,5.0,4.0,3.0,,,,,,,2.0,5.0,,5.0,,,6.0,4.0,,,,,,,2.0,3.0,3.0,4.0,,5.0,,5.0,,5.0,4.0,,3.0,,,,4.0,2.0,4.0,4.0,,4.0,,,,,,,1.0,,,4.0,,5.0,2.0,,4.0,,5.0,2.0,,5.0,,,4.0,,,,5.0,4.0,,4.0,4.0,,5.0,,4.0,,,,2.0,,,4.0,,4.0,5.0,2.0,,,4.0,,,,5.0,,,,4.0,,4.0,,,,,,2.0,,,6.0,,,,4.0,,,,6.0,2.0,3.0,4.0,3.0,,,2.0,,4.0,,6.0,2.0,,,,,,5.0,,,,,3.0,1.0,,4.0,,4.0,5.0,5.0,,,,,,5.0,5.0,,,5.0,5.0,,,,5.0,5.0,2.0,,,2.0,,,,,,,,,,,,4.0,,,,2.0,,,,5.0,,4.0,4.0,,,,,
29689,,2.0,,,5.0,3.0,4.0,,,,,,,,5.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,5.0,6.0,5.0,6.0,,,,,,,,,,0.0,,,6.0,,,0.0,4.0,0.0,,,2.0,,4.0,6.0,,3.0,,0.0,1.0,,,4.0,2.0,5.0,3.0,5.0,,6.0,,3.0,,4.0,2.0,,,,,,6.0,,6.0,3.0,,,2.0,,3.0,,,,,,2.0,5.0,,1.0,,,,,4.0,,,,,4.0,,2.0,6.0,6.0,0.0,4.0,2.0,,,,,,5.0,,,,,3.0,,5.0,0.0,4.0,3.0,4.0,,5.0,6.0,,,3.0,,,,0.0,3.0,,,6.0,5.0,,,3.0,,,0.0,,5.0,0.0,,,5.0,5.0,,4.0,5.0,,6.0,6.0,5.0,,,,2.0,4.0,5.0,,2.0,,,,,,,,,1.0,,,,6.0,,,,,
33928,,5.0,5.0,,5.0,6.0,,,,,,,4.0,,,,4.0,,,1.0,3.0,,1.0,,,5.0,,,5.0,4.0,,,,6.0,,4.0,,,,5.0,,,5.0,,4.0,,,5.0,,5.0,,,,,1.0,,,2.0,5.0,,,5.0,,,,,2.0,4.0,,5.0,,,,,3.0,,,,,3.0,,,,4.0,5.0,,,,,,,4.0,,1.0,5.0,,,,,,6.0,,,4.0,,1.0,,,,,,,,,,,,2.0,4.0,5.0,,4.0,,,,2.0,,4.0,,1.0,5.0,4.0,,5.0,,,5.0,4.0,,4.0,,4.0,,,,6.0,,,,,3.0,,5.0,6.0,5.0,,,6.0,,,,3.0,6.0,,5.0,,4.0,5.0,4.0,,,,,4.0,4.0,,1.0,,4.0,5.0,,5.0,5.0,4.0,,5.0,1.0,,1.0,5.0,,,6.0,1.0,4.0,1.0,,,,,4.0,,5.0
34003,4.0,2.0,4.0,,,6.0,4.0,,5.0,,3.0,6.0,,,,4.0,,5.0,,,0.0,3.0,0.0,,,4.0,,,,,2.0,4.0,,,,,,4.0,3.0,4.0,,,5.0,,1.0,5.0,,,,,,,,4.0,,,,,,,2.0,,,,,,5.0,5.0,,5.0,,5.0,,3.0,,,4.0,,,,,6.0,,5.0,6.0,6.0,,,3.0,,,5.0,5.0,,5.0,4.0,,4.0,,5.0,,3.0,,4.0,2.0,,,5.0,,,,,,6.0,4.0,5.0,5.0,,,,4.0,3.0,,1.0,,,5.0,,,,5.0,,,,,,4.0,,5.0,3.0,,4.0,,3.0,6.0,,,,,,6.0,,,,,,4.0,1.0,6.0,,6.0,5.0,,,,4.0,,,5.0,6.0,,,,,,,5.0,2.0,,,,,4.0,6.0,,,,,,4.0,6.0,,0.0,,,,,,5.0,,5.0,2.0,0.0
34174,,5.0,6.0,,,,6.0,,6.0,0.0,,,,2.0,,,0.0,0.0,,5.0,0.0,,,,,,,2.0,4.0,,,1.0,6.0,6.0,,,,0.0,,,,,,6.0,,,,0.0,,,,6.0,,,,6.0,,,,0.0,1.0,,1.0,,,4.0,6.0,5.0,,5.0,0.0,0.0,,2.0,6.0,6.0,,,1.0,,5.0,,,4.0,,,4.0,,,0.0,,,,0.0,,0.0,0.0,,,,6.0,2.0,0.0,0.0,,,,5.0,,,,4.0,,1.0,,0.0,6.0,1.0,4.0,,6.0,,,4.0,,0.0,1.0,,5.0,,2.0,,,,,,,,6.0,3.0,,,5.0,2.0,,2.0,0.0,3.0,,,,1.0,,0.0,4.0,,,,6.0,,,,,,0.0,,,0.0,,,6.0,,,,0.0,,,0.0,,5.0,2.0,,,4.0,,,0.0,,,,,6.0,,,,,,6.0,,3.0,,,
34363,,,,,,,,6.0,6.0,1.0,,,,6.0,0.0,3.0,,,,,,0.0,6.0,,,6.0,,,,,,,4.0,6.0,4.0,4.0,6.0,,,4.0,,6.0,5.0,6.0,6.0,,5.0,5.0,,1.0,4.0,,0.0,4.0,,6.0,5.0,,,5.0,,,,,,,1.0,,3.0,5.0,,,,,,,,,5.0,5.0,,2.0,5.0,,,,1.0,,5.0,,2.0,5.0,,1.0,,,,5.0,3.0,,,5.0,5.0,,6.0,5.0,,6.0,,,5.0,,5.0,,,1.0,,,4.0,6.0,,,1.0,5.0,,,,6.0,,,,,,,6.0,,,,5.0,,1.0,1.0,,,,2.0,0.0,1.0,5.0,0.0,4.0,,,,,,,,,,,,5.0,6.0,4.0,6.0,,,4.0,6.0,,6.0,,,,5.0,,,3.0,,6.0,5.0,,6.0,,,,,,,,,1.0,,,,6.0,,,5.0,,,
37522,1.0,,,,,,0.0,,5.0,,,,,,,,2.0,,4.0,,,,3.0,,5.0,2.0,,,4.0,5.0,4.0,5.0,4.0,3.0,,,,5.0,,3.0,,5.0,,,,,,,,1.0,,,1.0,2.0,1.0,,,,2.0,,,,,,,,,,,,,4.0,5.0,,,,,,,,2.0,4.0,,2.0,,,5.0,5.0,,2.0,,,1.0,3.0,,,5.0,5.0,,,2.0,3.0,4.0,1.0,,,1.0,,,,,,,,,5.0,2.0,,,,3.0,4.0,4.0,,4.0,,4.0,,3.0,5.0,,4.0,,4.0,,5.0,5.0,4.0,3.0,2.0,3.0,5.0,1.0,,3.0,,3.0,3.0,5.0,,,,,,,,6.0,,5.0,,4.0,,,,,,,4.0,3.0,3.0,,,,,4.0,3.0,4.0,,,,,3.0,5.0,,,3.0,,5.0,0.0,4.0,,,,5.0,,,,,5.0,,,3.0,
37525,,1.0,,0.0,,,,,6.0,,6.0,4.0,,4.0,,,4.0,,,,,3.0,0.0,,,3.0,6.0,4.0,,6.0,5.0,3.0,0.0,0.0,,,4.0,,,,5.0,4.0,,,,,,,,4.0,,,,,,,,5.0,3.0,,,4.0,,1.0,5.0,4.0,,4.0,,,,,,0.0,,,4.0,,6.0,0.0,3.0,,1.0,,3.0,5.0,5.0,4.0,4.0,4.0,3.0,0.0,5.0,,,,,4.0,,4.0,0.0,,3.0,,6.0,4.0,0.0,,,0.0,,0.0,5.0,,,,,3.0,,,5.0,0.0,,,4.0,,3.0,,,,,,,,5.0,,,,,0.0,4.0,,,,5.0,5.0,,,,,0.0,0.0,,,,2.0,0.0,,,,,,,,6.0,,,6.0,,0.0,6.0,0.0,,,,4.0,,2.0,,,,,,,,,4.0,5.0,,3.0,4.0,,,,,,,6.0,2.0,,,,
37528,,,,5.0,,,,,,,4.0,5.0,,,,3.0,0.0,,,,6.0,,,3.0,5.0,5.0,4.0,,,,,1.0,,,,6.0,,4.0,1.0,,,,,5.0,,,,,,0.0,2.0,2.0,,5.0,1.0,,,,1.0,3.0,,,,,,,0.0,,,,,5.0,,,,,,,5.0,,2.0,,5.0,3.0,3.0,2.0,4.0,,5.0,4.0,,4.0,,5.0,4.0,0.0,,5.0,,,4.0,,1.0,3.0,3.0,0.0,,1.0,,6.0,,4.0,,5.0,6.0,,,,,5.0,,6.0,3.0,2.0,,,,6.0,,,,,5.0,,,,,5.0,2.0,,,,,6.0,0.0,1.0,,,,2.0,,6.0,2.0,4.0,6.0,5.0,,,,3.0,,,,1.0,,0.0,5.0,,3.0,,,6.0,6.0,4.0,,,,6.0,,,5.0,,,,4.0,1.0,,,,,,,,2.0,,,,,4.0,,4.0,,
37534,3.0,,3.0,2.0,,,,,2.0,,,,4.0,,,,3.0,2.0,3.0,,2.0,4.0,3.0,,4.0,2.0,3.0,3.0,,3.0,2.0,,,5.0,4.0,,4.0,,,,3.0,2.0,,,,3.0,,,3.0,,5.0,,,,,,2.0,,2.0,,,,,,2.0,,,,,2.0,,,,3.0,,4.0,,3.0,3.0,3.0,5.0,,3.0,,2.0,4.0,2.0,,,,,2.0,,,,,2.0,2.0,5.0,4.0,,,,,,,3.0,1.0,2.0,,1.0,,,,4.0,,,5.0,,,,,3.0,5.0,,,,,,3.0,1.0,3.0,,,3.0,,4.0,,,,,,,1.0,,,4.0,,,,1.0,,,,3.0,,,,,,5.0,3.0,,2.0,,2.0,,1.0,2.0,2.0,1.0,3.0,,4.0,,,,3.0,4.0,,,,,1.0,2.0,,,,,1.0,,,3.0,,,2.0,,3.0,4.0,,,,
