"","image_file","category","subcategory","current_height","current_width","source","searched_label","resize_factor","H","FA","n_resp","memorability_wo_fa_correction","memorability_w_fa_correction"
"1","000000003481.jpg","animal","bear",316,500,"coco","bear",1,55,4,98,0.561224489795918,0.520408163265306
"2","000000005745.jpg","animal","bear",427,640,"coco","bear",1,64,4,81,0.790123456790123,0.740740740740741
"3","000000011552.jpg","animal","bear",427,640,"coco","bear",1,75,5,104,0.721153846153846,0.673076923076923
"4","000000027439.jpg","animal","bear",359,640,"coco","bear",1,92,3,114,0.807017543859649,0.780701754385965
"5","000000055601.jpg","animal","bear",380,640,"coco","bear",1,83,12,102,0.813725490196078,0.696078431372549
"6","000000067118.jpg","animal","bear",427,640,"coco","bear",1,74,4,101,0.732673267326733,0.693069306930693
"7","000000074032.jpg","animal","bear",427,640,"coco","bear",1,77,4,101,0.762376237623762,0.722772277227723
"8","000000083773.jpg","animal","bear",480,640,"coco","bear",1,98,7,112,0.875,0.8125
"9","000000115681.jpg","animal","bear",428,640,"coco","bear",1,77,1,100,0.77,0.76
"10","000000123891.jpg","animal","bear",480,640,"coco","bear",1,74,4,107,0.691588785046729,0.654205607476635
"11","000000133428.jpg","animal","bear",480,640,"coco","bear",1,71,9,92,0.771739130434783,0.673913043478261
"12","000000138239.jpg","animal","bear",480,640,"coco","bear",1,79,2,109,0.724770642201835,0.706422018348624
"13","000000139892.jpg","animal","bear",480,640,"coco","bear",1,93,4,112,0.830357142857143,0.794642857142857
"14","000000150812.jpg","animal","bear",425,640,"coco","bear",1,82,19,102,0.803921568627451,0.617647058823529
"15","000000162767.jpg","animal","bear",427,640,"coco","bear",1,87,3,97,0.896907216494845,0.865979381443299
"16","000000175210.jpg","animal","bear",360,640,"coco","bear",1,80,6,95,0.842105263157895,0.778947368421053
"17","000000180046.jpg","animal","bear",481,640,"coco","bear",1,81,5,97,0.835051546391753,0.783505154639175
"18","000000182927.jpg","animal","bear",425,640,"coco","bear",1,78,13,88,0.886363636363636,0.738636363636364
"19","000000204640.jpg","animal","bear",457,640,"coco","bear",1,85,3,98,0.86734693877551,0.836734693877551
"20","000000208371.jpg","animal","bear",427,640,"coco","bear",1,79,5,108,0.731481481481482,0.685185185185185
"21","000000213437.jpg","animal","bear",480,640,"coco","bear",1,73,6,92,0.793478260869565,0.728260869565217
"22","000000216455.jpg","animal","bear",480,640,"coco","bear",1,69,6,107,0.644859813084112,0.588785046728972
"23","000000220306.jpg","animal","bear",480,640,"coco","bear",1,92,6,110,0.836363636363636,0.781818181818182
"24","000000223950.jpg","animal","bear",480,640,"coco","bear",1,78,16,93,0.838709677419355,0.666666666666667
"25","000000224193.jpg","animal","bear",427,640,"coco","bear",1,84,3,103,0.815533980582524,0.786407766990291
"26","000000233948.jpg","animal","bear",427,640,"coco","bear",1,88,12,97,0.907216494845361,0.783505154639175
"27","000000242290.jpg","animal","bear",427,640,"coco","bear",1,79,12,91,0.868131868131868,0.736263736263736
"28","000000267898.jpg","animal","bear",427,640,"coco","bear",1,90,10,114,0.789473684210526,0.701754385964912
"29","000000272804.jpg","animal","bear",323,640,"coco","bear",1,54,3,87,0.620689655172414,0.586206896551724
