,mooney,solution,labelsEn,labelsNl
0,img/tt/001tt.jpg,img/gs/001gs.jpg,owl,uil
1,img/tt/002tt.jpg,img/gs/002gs.jpg,"dog, dalmatian, dalmatian dog",
2,img/tt/003tt.jpg,img/gs/003gs.jpg,"fish, trout, tuna, herring, cod, carp",
3,img/tt/004tt.jpg,img/gs/004gs.jpg,"mushroom, fungi",
4,img/tt/005tt.jpg,img/gs/005gs.jpg,scorpion,
5,img/tt/006tt.jpg,img/gs/006gs.jpg,"goat, buck",
6,img/tt/007tt.jpg,img/gs/007gs.jpg,"frog, toad, bullfrog",
7,img/tt/008tt.jpg,img/gs/008gs.jpg,"gun, rifle, shotgun, firearm, weapon",
8,img/tt/009tt.jpg,img/gs/009gs.jpg,bananas,
9,img/tt/010tt.jpg,img/gs/010gs.jpg,bat,
10,img/tt/011tt.jpg,img/gs/011gs.jpg,"orca, whale, killer whale, dolphin",
11,img/tt/012tt.jpg,img/gs/012gs.jpg,beaver,
12,img/tt/013tt.jpg,img/gs/013gs.jpg,"camel, dromedary",
13,img/tt/014tt.jpg,img/gs/014gs.jpg,"ape, monkey, gorilla",
14,img/tt/015tt.jpg,img/gs/015gs.jpg,chandelier,
15,img/tt/016tt.jpg,img/gs/016gs.jpg,seahorse,
16,img/tt/017tt.jpg,img/gs/017gs.jpg,flamingos,
17,img/tt/018tt.jpg,img/gs/018gs.jpg,"squirrel, chipmunk, marmot",
18,img/tt/019tt.jpg,img/gs/019gs.jpg,"pliers, stripping tool, pincer",
19,img/tt/020tt.jpg,img/gs/020gs.jpg,"jesus, christ, jesus christ, lord, messiah",
20,img/tt/021tt.jpg,img/gs/021gs.jpg,"orca, whale, killer whale, dolphin",
21,img/tt/022tt.jpg,img/gs/022gs.jpg,"mug, coffee cup, cup",
22,img/tt/023tt.jpg,img/gs/023gs.jpg,"plane, aeroplane, airbus, aircraft, airliner, airship, cessna, sports plane, jet, jetplane",
23,img/tt/024tt.jpg,img/gs/024gs.jpg,"crocodile, croc, caiman, alligator",
24,img/tt/025tt.jpg,img/gs/025gs.jpg,"tipi, teepee, wigwam, tent, indian tent",
25,img/tt/026tt.jpg,img/gs/026gs.jpg,"gramophone, phonograph, record player",
26,img/tt/027tt.jpg,img/gs/027gs.jpg,"dove, bird, pigeon",
27,img/tt/028tt.jpg,img/gs/028gs.jpg,"fish, trout, tuna, herring, cod, carp",
28,img/tt/029tt.jpg,img/gs/029gs.jpg,"tuba, trumpet, brass, trombone, sousaphone, contrabass bugles, bugles, horn, french horn, euphonium, tenor horn, baritone horn",
29,img/tt/030tt.jpg,img/gs/030gs.jpg,"hamburger, burger",
30,img/tt/031tt.jpg,img/gs/031gs.jpg,"bear, brown bear, grizzly",
31,img/tt/032tt.jpg,img/gs/032gs.jpg,"zipper, zip, zip-fastener, slide-fastener",
32,img/tt/033tt.jpg,img/gs/033gs.jpg,"bike, bicycle, velocipede, cycle, sports bike, racing bike, racing",
33,img/tt/034tt.jpg,img/gs/034gs.jpg,"skunk, badger, stink",
34,img/tt/035tt.jpg,img/gs/035gs.jpg,"waterfall, river, cascade, stream",
35,img/tt/036tt.jpg,img/gs/036gs.jpg,"lightning, bolt, firebolt, storm, thunderstorm",
36,img/tt/037tt.jpg,img/gs/037gs.jpg,"reindeer, deer, moose, elk, wapiti, muntjac, chital, antler",
37,img/tt/038tt.jpg,img/gs/038gs.jpg,"bear, teddybear, teddy, toy, stuffed animal, stuffed",
38,img/tt/039tt.jpg,img/gs/039gs.jpg,"ape, monkey, gorilla",
39,img/tt/040tt.jpg,img/gs/040gs.jpg,"ape, monkey, gorilla, chimp, chimpanzee, bonobo",
40,img/tt/041tt.jpg,img/gs/041gs.jpg,"gun, rifle, revolver, firearm, weapon, six-shooter, pistol, handgun",
41,img/tt/042tt.jpg,img/gs/042gs.jpg,"baseball glove, glove, baseball",
42,img/tt/043tt.jpg,img/gs/043gs.jpg,"bowling, ball, bowling ball, hand, finger",
