"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","totalTime","subject","experiment_name","button_pressed","success","ahacond","currentStim","solvability","pressed","affect","rtfinal"
"5680.294999969192","Welcome to the experiment. This is an online experiment so please don't close the tab/window until we say goodbye.  Press any key to begin.","32","instructions","html-keyboard-response","0","5704","0.0-0.0","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"18039.249999972526","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Purpose of the research</b>: To examine how people process images.</li><li><b>What you will do in this research</b>:  Stimuli (images) will be presented on the computer and you will be asked different questions about them.</li><li><b>Time required</b>: Participation will take between 10 and 20 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the credit. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (University of Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","23745","0.0-1.0","775354","5e237caac530bd62e210d540","solvability","0","","","","","","",""
"","","","instructions","fullscreen","2","28001","0.0-2.0","775354","5e237caac530bd62e210d540","solvability","","true","","","","","",""
"3174.1599999950267","<p>Do you have any knowledge of chinese or japanese (written) language (hanzi, kanji, kana)?</p>","","chineseprior","html-button-response","3","31176","0.0-3.0","775354","5e237caac530bd62e210d540","solvability","1","","","","","","",""
"37202.91999995243","<div style='word-wrap: break-word; width: 900px'><h3>Instructions</h3><p>In this experiment you will have two tasks. You will see images like the one you can see on the left. These distorted images are derived from actual photographs as you can see on the right. First, you will <strong>briefly</strong> see the distorted image.</p> <div style='float: left; margin-right: 20px;'><img src='../img/018tt.jpg' height='250' width='250'></img></div><div style='float: right; margin-left: 20px;'><img src='../img/018gs.jpg' height='250' width='250'></img></div><p>Next, you will be asked to indicate whether or not you think you would be able to solve it (identify what's in the original photograph) if you would be allowed to view the image <strong>for as long as you wanted</strong>. Next you will briefly see the solution. After that, you will very briefly see a character from the Chinese alphabet. We are interested in <strong>how intuitive the meaning of those characters is</strong>. So you will have to indicate for each of these characters whether you think it represents <strong>something good/pleasant, or something bad/unpleasant</strong>. Try to go with your first, intuitive response. We realize these questions are difficult and require you to make a guess based on insufficient information, but there's no right or wrong answers. Just pay attention and make the guess that feels most right, you don't need to think about it too much. <p>Press any key to start a few practice trials.</p></div>","32","instructions","html-keyboard-response","4","68380","0.0-4.0","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","68581","0.0-5.0-0.0","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../img/tt/1308tt.jpg","null","mooney1","image-keyboard-response","6","71584","0.0-5.0-1.0","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"6486.499999999069","<p>Do you think you would be able to solve this image when given unlimited viewing time? <br><br>Press the <strong>N</strong>-key if ""rather no"", press the <strong>Y</strong>-key if ""rather yes"".</p>","78","solvability","html-keyboard-response","7","78071","0.0-5.0-2.0","775354","5e237caac530bd62e210d540","solvability","","","practice","../img/tt/1308tt.jpg","0","","",""
"null","../img/tt/1308tt.jpg","null","mooney2","image-keyboard-response","8","80573","0.0-5.0-3.0","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../img/gs/1308gs.jpg","null","reveal","image-keyboard-response","9","81074","0.0-5.0-4.0","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../img/tt/1308tt.jpg","null","mooney3","image-keyboard-response","10","82576","0.0-5.0-5.0","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","","null","isi","html-keyboard-response","11","82777","0.0-5.0-6.0","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../solvability/picts/pict69.png","null","target","image-keyboard-response","12","83279","0.0-5.0-7.0","775354","5e237caac530bd62e210d540","solvability","","","practice","../img/tt/1308tt.jpg","","0","",""
"5610.0250000017695","<p>Do you think this character expresses something bad/unpleasant or something good/pleasant?<br><br>Press <strong>left arrow</strong> for something bad or unpleasant<br>Press <strong>right arrow</strong> for something good or pleasant. </p>","39","affect","html-keyboard-response","13","88891","0.0-5.0-8.0","775354","5e237caac530bd62e210d540","solvability","","","practice","../img/tt/1308tt.jpg","","","1","6110.0250000017695"
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","89092","0.0-5.0-0.1","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../img/tt/407tt.jpg","null","mooney1","image-keyboard-response","15","92093","0.0-5.0-1.1","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"2442.5150000024587","<p>Do you think you would be able to solve this image when given unlimited viewing time? <br><br>Press the <strong>N</strong>-key if ""rather no"", press the <strong>Y</strong>-key if ""rather yes"".</p>","78","solvability","html-keyboard-response","16","94536","0.0-5.0-2.1","775354","5e237caac530bd62e210d540","solvability","","","practice","../img/tt/407tt.jpg","0","","",""
"null","../img/tt/407tt.jpg","null","mooney2","image-keyboard-response","17","97038","0.0-5.0-3.1","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../img/gs/407gs.jpg","null","reveal","image-keyboard-response","18","97540","0.0-5.0-4.1","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../img/tt/407tt.jpg","null","mooney3","image-keyboard-response","19","99042","0.0-5.0-5.1","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","","null","isi","html-keyboard-response","20","99243","0.0-5.0-6.1","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../solvability/picts/pict70.png","null","target","image-keyboard-response","21","99744","0.0-5.0-7.1","775354","5e237caac530bd62e210d540","solvability","","","practice","../img/tt/407tt.jpg","","0","",""
"2513.784999959171","<p>Do you think this character expresses something bad/unpleasant or something good/pleasant?<br><br>Press <strong>left arrow</strong> for something bad or unpleasant<br>Press <strong>right arrow</strong> for something good or pleasant. </p>","37","affect","html-keyboard-response","22","102259","0.0-5.0-8.1","775354","5e237caac530bd62e210d540","solvability","","","practice","../img/tt/407tt.jpg","","","0","3013.784999959171"
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","102461","0.0-5.0-0.2","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../img/tt/419tt.jpg","null","mooney1","image-keyboard-response","24","105462","0.0-5.0-1.2","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"1632.2199999704026","<p>Do you think you would be able to solve this image when given unlimited viewing time? <br><br>Press the <strong>N</strong>-key if ""rather no"", press the <strong>Y</strong>-key if ""rather yes"".</p>","89","solvability","html-keyboard-response","25","107095","0.0-5.0-2.2","775354","5e237caac530bd62e210d540","solvability","","","practice","../img/tt/419tt.jpg","1","","",""
"null","../img/tt/419tt.jpg","null","mooney2","image-keyboard-response","26","109597","0.0-5.0-3.2","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../img/gs/419gs.jpg","null","reveal","image-keyboard-response","27","110099","0.0-5.0-4.2","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../img/tt/419tt.jpg","null","mooney3","image-keyboard-response","28","111602","0.0-5.0-5.2","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","","null","isi","html-keyboard-response","29","111804","0.0-5.0-6.2","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../solvability/picts/pict71.png","null","target","image-keyboard-response","30","112305","0.0-5.0-7.2","775354","5e237caac530bd62e210d540","solvability","","","practice","../img/tt/419tt.jpg","","0","",""
"1781.6800000146031","<p>Do you think this character expresses something bad/unpleasant or something good/pleasant?<br><br>Press <strong>left arrow</strong> for something bad or unpleasant<br>Press <strong>right arrow</strong> for something good or pleasant. </p>","39","affect","html-keyboard-response","31","114088","0.0-5.0-8.2","775354","5e237caac530bd62e210d540","solvability","","","practice","../img/tt/419tt.jpg","","","1","2281.680000014603"
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","114290","0.0-5.0-0.3","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../img/tt/1286tt.jpg","null","mooney1","image-keyboard-response","33","117294","0.0-5.0-1.3","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"1310.8800000045449","<p>Do you think you would be able to solve this image when given unlimited viewing time? <br><br>Press the <strong>N</strong>-key if ""rather no"", press the <strong>Y</strong>-key if ""rather yes"".</p>","89","solvability","html-keyboard-response","34","118605","0.0-5.0-2.3","775354","5e237caac530bd62e210d540","solvability","","","practice","../img/tt/1286tt.jpg","1","","",""
"null","../img/tt/1286tt.jpg","null","mooney2","image-keyboard-response","35","121107","0.0-5.0-3.3","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../img/gs/1286gs.jpg","null","reveal","image-keyboard-response","36","121609","0.0-5.0-4.3","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../img/tt/1286tt.jpg","null","mooney3","image-keyboard-response","37","123110","0.0-5.0-5.3","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","","null","isi","html-keyboard-response","38","123312","0.0-5.0-6.3","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../solvability/picts/pict68.png","null","target","image-keyboard-response","39","123813","0.0-5.0-7.3","775354","5e237caac530bd62e210d540","solvability","","","practice","../img/tt/1286tt.jpg","","0","",""
"1688.9049999881536","<p>Do you think this character expresses something bad/unpleasant or something good/pleasant?<br><br>Press <strong>left arrow</strong> for something bad or unpleasant<br>Press <strong>right arrow</strong> for something good or pleasant. </p>","37","affect","html-keyboard-response","40","125502","0.0-5.0-8.3","775354","5e237caac530bd62e210d540","solvability","","","practice","../img/tt/1286tt.jpg","","","0","2188.9049999881536"
"59848.500000021886","<div style='word-wrap: break-word; width: 900px'><h3>Instructions</h3><p>Ok, now you know what to do. Remember, we always want your first, intuitive response, don't think for too long. Keep the fingers of your left hand on the Y and N key, and those of your right hand on the left and right arrow key.</p></div>","39","instructions","html-keyboard-response","41","185351","0.0-6.0","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","42","185552","0.0-7.0-0.0","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"null","../img/tt/1226tt.jpg","null","mooney1","image-keyboard-response","43","188555","0.0-7.0-1.0","775354","5e237caac530bd62e210d540","solvability","","","","","","","",""
"1412.1399999712594","<p>Do you think you would be able to solve this image when given unlimited viewing time? <br><br>Press the <strong>N</strong>-key if ""rather no"", press the <strong>Y</strong>-key if ""rather yes"".</p>","89","solvability","html-keyboard-response","44","189967","0.0-7.0-2.0","775354","5e237caac530bd62e210d540","solvability","","","NAHA","../img/tt/1226tt.jpg","1","","",""
