"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","totalTime","subject","experiment_name","button_pressed","success","ahacond","currentStim","solvability","pressed","affect","rtfinal"
"126834","Welcome to the experiment. This is an online experiment so please don't close the tab/window until we say goodbye.  Press any key to begin.","38","instructions","html-keyboard-response","0","126838","0.0-0.0","907075","5e86e400b23b0a317cfd1abf","solvability","","","","","","","",""
"17918","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Purpose of the research</b>: To examine how people process images.</li><li><b>What you will do in this research</b>:  Stimuli (images) will be presented on the computer and you will be asked different questions about them.</li><li><b>Time required</b>: Participation will take between 10 and 20 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the credit. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (University of Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","144758","0.0-1.0","907075","5e86e400b23b0a317cfd1abf","solvability","0","","","","","","",""
"","","","instructions","fullscreen","2","149076","0.0-2.0","907075","5e86e400b23b0a317cfd1abf","solvability","","true","","","","","",""
"4493","<p>Do you have any knowledge of chinese or japanese (written) language (hanzi, kanji, kana)?</p>","","chineseprior","html-button-response","3","153571","0.0-3.0","907075","5e86e400b23b0a317cfd1abf","solvability","1","","","","","","",""
"30013","<div style='word-wrap: break-word; width: 900px'><h3>Instructions</h3><p>In this experiment you will have two tasks. You will see images like the one you can see on the left. These distorted images are derived from actual photographs as you can see on the right. First, you will <strong>briefly</strong> see the distorted image.</p> <div style='float: left; margin-right: 20px;'><img src='../img/018tt.jpg' height='250' width='250'></img></div><div style='float: right; margin-left: 20px;'><img src='../img/018gs.jpg' height='250' width='250'></img></div><p>Next, you will be asked to indicate whether or not you think you would be able to solve it (identify what's in the original photograph) if you would be allowed to view the image <strong>for as long as you wanted</strong>. Next you will briefly see the solution. After that, you will very briefly see a character from the Chinese alphabet. We are interested in <strong>how intuitive the meaning of those characters is</strong>. So you will have to indicate for each of these characters whether you think it represents <strong>something good/pleasant, or something bad/unpleasant</strong>. Try to go with your first, intuitive response. We realize these questions are difficult and require you to make a guess based on insufficient information, but there's no right or wrong answers. Just pay attention and make the guess that feels most right, you don't need to think about it too much. <p>Press any key to start a few practice trials.</p></div>","32","instructions","html-keyboard-response","4","183584","0.0-4.0","907075","5e86e400b23b0a317cfd1abf","solvability","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","183790","0.0-5.0-0.0","907075","5e86e400b23b0a317cfd1abf","solvability","","","","","","","",""
"null","../img/tt/419tt.jpg","null","mooney1","image-keyboard-response","6","186794","0.0-5.0-1.0","907075","5e86e400b23b0a317cfd1abf","solvability","","","","","","","",""
"7799","<p>Do you think you would be able to solve this image when given unlimited viewing time? <br><br>Press the <strong>N</strong>-key if ""rather no"", press the <strong>Y</strong>-key if ""rather yes"".</p>","78","solvability","html-keyboard-response","7","194595","0.0-5.0-2.0","907075","5e86e400b23b0a317cfd1abf","solvability","","","practice","../img/tt/419tt.jpg","0","","",""
"null","../img/tt/419tt.jpg","null","mooney2","image-keyboard-response","8","197099","0.0-5.0-3.0","907075","5e86e400b23b0a317cfd1abf","solvability","","","","","","","",""
"null","../img/gs/419gs.jpg","null","reveal","image-keyboard-response","9","197602","0.0-5.0-4.0","907075","5e86e400b23b0a317cfd1abf","solvability","","","","","","","",""
"null","../img/tt/419tt.jpg","null","mooney3","image-keyboard-response","10","199104","0.0-5.0-5.0","907075","5e86e400b23b0a317cfd1abf","solvability","","","","","","","",""
"null","","null","isi","html-keyboard-response","11","199307","0.0-5.0-6.0","907075","5e86e400b23b0a317cfd1abf","solvability","","","","","","","",""
"null","../solvability/picts/pict71.png","null","target","image-keyboard-response","12","199809","0.0-5.0-7.0","907075","5e86e400b23b0a317cfd1abf","solvability","","","practice","../img/tt/419tt.jpg","","0","",""
"8370","<p>Do you think this character expresses something bad/unpleasant or something good/pleasant?<br><br>Press <strong>left arrow</strong> for something bad or unpleasant<br>Press <strong>right arrow</strong> for something good or pleasant. </p>","39","affect","html-keyboard-response","13","208178","0.0-5.0-8.0","907075","5e86e400b23b0a317cfd1abf","solvability","","","practice","../img/tt/419tt.jpg","","","1","8870"
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","208382","0.0-5.0-0.1","907075","5e86e400b23b0a317cfd1abf","solvability","","","","","","","",""
"null","../img/tt/407tt.jpg","null","mooney1","image-keyboard-response","15","211383","0.0-5.0-1.1","907075","5e86e400b23b0a317cfd1abf","solvability","","","","","","","",""
