"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","totalTime","subject","experiment_name","button_pressed","success","ahacond","currentStim","solvability","pressed","affect","rtfinal"
"15282","Welcome to the experiment. This is an online experiment so please don't close the tab/window until we say goodbye.  Press any key to begin.","13","instructions","html-keyboard-response","0","15287","0.0-0.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"34331","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Purpose of the research</b>: To examine how people process images.</li><li><b>What you will do in this research</b>:  Stimuli (images) will be presented on the computer and you will be asked different questions about them.</li><li><b>Time required</b>: Participation will take between 10 and 20 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the credit. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (University of Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","49626","0.0-1.0","856976","5ea1c935df1e160ae8532b18","solvability","0","","","","","","",""
"","","","instructions","fullscreen","2","54213","0.0-2.0","856976","5ea1c935df1e160ae8532b18","solvability","","true","","","","","",""
"6119","<p>Do you have any knowledge of chinese or japanese (written) language (hanzi, kanji, kana)?</p>","","chineseprior","html-button-response","3","60339","0.0-3.0","856976","5ea1c935df1e160ae8532b18","solvability","1","","","","","","",""
"66443","<div style='word-wrap: break-word; width: 900px'><h3>Instructions</h3><p>In this experiment you will have two tasks. You will see images like the one you can see on the left. These distorted images are derived from actual photographs as you can see on the right. First, you will <strong>briefly</strong> see the distorted image.</p> <div style='float: left; margin-right: 20px;'><img src='../img/018tt.jpg' height='250' width='250'></img></div><div style='float: right; margin-left: 20px;'><img src='../img/018gs.jpg' height='250' width='250'></img></div><p>Next, you will be asked to indicate whether or not you think you would be able to solve it (identify what's in the original photograph) if you would be allowed to view the image <strong>for as long as you wanted</strong>. Next you will briefly see the solution. After that, you will very briefly see a character from the Chinese alphabet. We are interested in <strong>how intuitive the meaning of those characters is</strong>. So you will have to indicate for each of these characters whether you think it represents <strong>something good/pleasant, or something bad/unpleasant</strong>. Try to go with your first, intuitive response. We realize these questions are difficult and require you to make a guess based on insufficient information, but there's no right or wrong answers. Just pay attention and make the guess that feels most right, you don't need to think about it too much. <p>Press any key to start a few practice trials.</p></div>","13","instructions","html-keyboard-response","4","126787","0.0-4.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","126991","0.0-5.0-0.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/tt/1308tt.jpg","null","mooney1","image-keyboard-response","6","130001","0.0-5.0-1.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"6477","<p>Do you think you would be able to solve this image when given unlimited viewing time? <br><br>Press the <strong>N</strong>-key if ""rather no"", press the <strong>Y</strong>-key if ""rather yes"".</p>","89","solvability","html-keyboard-response","7","136482","0.0-5.0-2.0","856976","5ea1c935df1e160ae8532b18","solvability","","","practice","../img/tt/1308tt.jpg","1","","",""
"null","../img/tt/1308tt.jpg","null","mooney2","image-keyboard-response","8","138991","0.0-5.0-3.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/gs/1308gs.jpg","null","reveal","image-keyboard-response","9","139502","0.0-5.0-4.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/tt/1308tt.jpg","null","mooney3","image-keyboard-response","10","141010","0.0-5.0-5.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","","null","isi","html-keyboard-response","11","141220","0.0-5.0-6.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../solvability/picts/pict69.png","null","target","image-keyboard-response","12","141731","0.0-5.0-7.0","856976","5ea1c935df1e160ae8532b18","solvability","","","practice","../img/tt/1308tt.jpg","","0","",""
"11621","<p>Do you think this character expresses something bad/unpleasant or something good/pleasant?<br><br>Press <strong>left arrow</strong> for something bad or unpleasant<br>Press <strong>right arrow</strong> for something good or pleasant. </p>","39","affect","html-keyboard-response","13","153354","0.0-5.0-8.0","856976","5ea1c935df1e160ae8532b18","solvability","","","practice","../img/tt/1308tt.jpg","","","1","12121"
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","153560","0.0-5.0-0.1","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/tt/407tt.jpg","null","mooney1","image-keyboard-response","15","156570","0.0-5.0-1.1","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"3297","<p>Do you think you would be able to solve this image when given unlimited viewing time? <br><br>Press the <strong>N</strong>-key if ""rather no"", press the <strong>Y</strong>-key if ""rather yes"".</p>","89","solvability","html-keyboard-response","16","159869","0.0-5.0-2.1","856976","5ea1c935df1e160ae8532b18","solvability","","","practice","../img/tt/407tt.jpg","1","","",""
"null","../img/tt/407tt.jpg","null","mooney2","image-keyboard-response","17","162380","0.0-5.0-3.1","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/gs/407gs.jpg","null","reveal","image-keyboard-response","18","162890","0.0-5.0-4.1","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/tt/407tt.jpg","null","mooney3","image-keyboard-response","19","164400","0.0-5.0-5.1","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","","null","isi","html-keyboard-response","20","164610","0.0-5.0-6.1","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../solvability/picts/pict70.png","null","target","image-keyboard-response","21","165121","0.0-5.0-7.1","856976","5ea1c935df1e160ae8532b18","solvability","","","practice","../img/tt/407tt.jpg","","0","",""
"5767","<p>Do you think this character expresses something bad/unpleasant or something good/pleasant?<br><br>Press <strong>left arrow</strong> for something bad or unpleasant<br>Press <strong>right arrow</strong> for something good or pleasant. </p>","39","affect","html-keyboard-response","22","170893","0.0-5.0-8.1","856976","5ea1c935df1e160ae8532b18","solvability","","","practice","../img/tt/407tt.jpg","","","1","6267"
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","171100","0.0-5.0-0.2","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/tt/1286tt.jpg","null","mooney1","image-keyboard-response","24","174110","0.0-5.0-1.2","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"1967","<p>Do you think you would be able to solve this image when given unlimited viewing time? <br><br>Press the <strong>N</strong>-key if ""rather no"", press the <strong>Y</strong>-key if ""rather yes"".</p>","89","solvability","html-keyboard-response","25","176078","0.0-5.0-2.2","856976","5ea1c935df1e160ae8532b18","solvability","","","practice","../img/tt/1286tt.jpg","1","","",""
"null","../img/tt/1286tt.jpg","null","mooney2","image-keyboard-response","26","178590","0.0-5.0-3.2","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/gs/1286gs.jpg","null","reveal","image-keyboard-response","27","179100","0.0-5.0-4.2","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/tt/1286tt.jpg","null","mooney3","image-keyboard-response","28","180609","0.0-5.0-5.2","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","","null","isi","html-keyboard-response","29","180820","0.0-5.0-6.2","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../solvability/picts/pict68.png","null","target","image-keyboard-response","30","181330","0.0-5.0-7.2","856976","5ea1c935df1e160ae8532b18","solvability","","","practice","../img/tt/1286tt.jpg","","0","",""
"2369","<p>Do you think this character expresses something bad/unpleasant or something good/pleasant?<br><br>Press <strong>left arrow</strong> for something bad or unpleasant<br>Press <strong>right arrow</strong> for something good or pleasant. </p>","39","affect","html-keyboard-response","31","183701","0.0-5.0-8.2","856976","5ea1c935df1e160ae8532b18","solvability","","","practice","../img/tt/1286tt.jpg","","","1","2869"
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","183909","0.0-5.0-0.3","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/tt/419tt.jpg","null","mooney1","image-keyboard-response","33","186920","0.0-5.0-1.3","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"1789","<p>Do you think you would be able to solve this image when given unlimited viewing time? <br><br>Press the <strong>N</strong>-key if ""rather no"", press the <strong>Y</strong>-key if ""rather yes"".</p>","78","solvability","html-keyboard-response","34","188711","0.0-5.0-2.3","856976","5ea1c935df1e160ae8532b18","solvability","","","practice","../img/tt/419tt.jpg","0","","",""
"null","../img/tt/419tt.jpg","null","mooney2","image-keyboard-response","35","191219","0.0-5.0-3.3","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/gs/419gs.jpg","null","reveal","image-keyboard-response","36","191729","0.0-5.0-4.3","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/tt/419tt.jpg","null","mooney3","image-keyboard-response","37","193239","0.0-5.0-5.3","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","","null","isi","html-keyboard-response","38","193448","0.0-5.0-6.3","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../solvability/picts/pict71.png","null","target","image-keyboard-response","39","193959","0.0-5.0-7.3","856976","5ea1c935df1e160ae8532b18","solvability","","","practice","../img/tt/419tt.jpg","","0","",""
"3602","<p>Do you think this character expresses something bad/unpleasant or something good/pleasant?<br><br>Press <strong>left arrow</strong> for something bad or unpleasant<br>Press <strong>right arrow</strong> for something good or pleasant. </p>","37","affect","html-keyboard-response","40","197563","0.0-5.0-8.3","856976","5ea1c935df1e160ae8532b18","solvability","","","practice","../img/tt/419tt.jpg","","","0","4102"
"24335","<div style='word-wrap: break-word; width: 900px'><h3>Instructions</h3><p>Ok, now you know what to do. Remember, we always want your first, intuitive response, don't think for too long. Keep the fingers of your left hand on the Y and N key, and those of your right hand on the left and right arrow key.</p></div>","32","instructions","html-keyboard-response","41","221901","0.0-6.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","42","222108","0.0-7.0-0.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/tt/1148tt.jpg","null","mooney1","image-keyboard-response","43","225118","0.0-7.0-1.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"2822","<p>Do you think you would be able to solve this image when given unlimited viewing time? <br><br>Press the <strong>N</strong>-key if ""rather no"", press the <strong>Y</strong>-key if ""rather yes"".</p>","89","solvability","html-keyboard-response","44","227944","0.0-7.0-2.0","856976","5ea1c935df1e160ae8532b18","solvability","","","HAHA","../img/tt/1148tt.jpg","1","","",""
"null","../img/tt/1148tt.jpg","null","mooney2","image-keyboard-response","45","230447","0.0-7.0-3.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/gs/1148gs.jpg","null","reveal","image-keyboard-response","46","230958","0.0-7.0-4.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../img/tt/1148tt.jpg","null","mooney3","image-keyboard-response","47","232468","0.0-7.0-5.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","","null","isi","html-keyboard-response","48","232678","0.0-7.0-6.0","856976","5ea1c935df1e160ae8532b18","solvability","","","","","","","",""
"null","../solvability/picts/pict13.png","null","target","image-keyboard-response","49","233188","0.0-7.0-7.0","856976","5ea1c935df1e160ae8532b18","solvability","","","HAHA","../img/tt/1148tt.jpg","","0","",""
